symbol,date,numobs,high_21d,high_34d,high_55d,low_11d,low_21d,low_34d,first_date,first_close,close,volume,roc_ytd,roc5,roc10,ma_4d,ma_7d,ma_21d,ma_42d,ma_65d,ma_126d,close_25d_ago,ma_126d_25d_ago,total_up_days_10yr,vol9_5,vol9_10,vol9_50,vol9_126,vol9_252,pct4_10,pct4_20,pct4_40,pct4_60,pct4_126,pct4_252,up_day,consecutive_up_days,total_curr_up_days,total_up_days_252d,total_up_days_ytd,up_day_percentage,max_up_streak,significant_up_days_1pct,significant_up_days_2pct,high_volume_up_days,recent_up_trend_21d,recent_up_trend_63d,strong_up_days
A,2025-10-03,5033,143.09,143.09,143.09,120.78,120.78,117.03,2025-01-02,133.43,141.64,2345960,6.15303904669113,1.14790501661399,1.12127929069031,136.8175,130.9,127.791904761905,123.740238095238,121.661230769231,116.507936507937,124.96,115.188253968254,1357,0,0,0,0,0,1,1,2,2,3,4,TRUE,6,2634,123,96,52.3,10,1285,539,992,12,35,229
AA,2025-10-03,5033,35.25,35.25,35.25,30.81,30.71,28.92,2025-01-02,37.99,34.5,5786885,-9.1866280600158,1.05472332619994,1.06284658040665,34.0175,33.44,32.6761904761905,31.7633333333333,31.2521538461538,29.2020634920635,31.92,29.1934126984127,1239,0,0,0,4,6,1,1,2,2,9,13,FALSE,0,2495,126,95,49.6,13,1626,1030,956,11,35,620
AAAA,2025-10-03,57,26.894,26.894,26.894,26.4,26.01,25.4857,2025-07-16,25.0766,26.8076,293,6.90284966861536,1.00827074173396,1.00575519055158,26.75935,26.6673142857143,26.5031714285714,26.1405333333333,25.9279456140351,25.9279456140351,26.02,,32,0,0,0,0,0,0,0,0,0,0,0,TRUE,4,32,32,32,57.1,5,2,0,2,13,32,0
AAAU,2025-10-03,1793,38.469,38.469,38.469,36.0728,35.285,32.7349,2025-01-02,26.285,38.36,1706812,45.9387483355526,1.03146006991127,1.05428061014154,38.18,37.8157142857143,36.7664285714286,35.1439285714286,34.3952307692308,33.507380952381,33.78,32.1505158730159,951,0,0,0,0,0,0,0,0,0,0,0,TRUE,1,951,147,113,53.1,10,236,42,370,15,38,9
AACB,2025-10-03,350,10.18,10.18,10.18,10.13,10.12,10.105,2025-04-07,9.88,10.15,649720,2.73279352226721,1.00197433366239,1.00197433366239,10.1575,10.1485714285714,10.1371857142857,10.1300214285714,10.1153215384615,19.6554746031746,10.15,26.3384857142857,172,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,172,128,43,49.3,8,62,30,21,6,28,19
AACBR,2025-09-26,66,0.24,0.28,0.28,0.1599,0.1599,0.1511,2025-04-07,0.18,0.24,620,33.3333333333333,1.2,1.09140518417462,0.2221765,0.211315142857143,0.212124095238095,0.225445119047619,0.2239184,0.22325296969697,0.2398,,30,0,0,0,0,0,2,2,2,3,3,3,TRUE,4,30,30,30,46.2,5,24,22,5,10,29,20
AACBU,2025-10-03,107,12.15,12.15,12.15,10.27,10.27,10.27,2025-02-13,10,10.32,2385,3.2,0.972667295004713,0.988505747126437,10.3425,10.47,10.3771428571429,10.3781476190476,10.3284938461538,10.2210457943925,10.4,,42,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,42,42,42,39.6,3,7,3,4,6,25,2
AACG,2025-10-03,1498,2.5794,2.5794,2.5794,1.27,1.27,1.27,2025-01-02,0.88,1.39,41865,57.9545454545454,0.847560975609756,0.56734693877551,1.3925,1.49714285714286,1.97559047619048,1.94348095238095,1.63990073846154,1.27809876984127,2.23,1.06675193650794,657,0,0,0,0,0,0,1,5,10,10,16,FALSE,0,657,113,87,43.9,8,537,399,32,9,33,290
AACI,2025-10-03,67,10.49,10.5,10.5,10.29,10.23,10.23,2025-06-24,10.04,10.47,397,4.28286852589643,1.00673076923077,1.01159420289855,10.466,10.4381428571429,10.339619047619,10.2830238095238,10.2008261538462,10.195876119403,10.27,,28,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,28,28,28,42.4,5,1,1,7,13,28,0
AACIU,2025-09-09,211,10.75,10.75,10.75,10.16,10.14,10.14,2025-05-21,10.02,10.55,1327,5.28942115768465,0.998580217699953,1.02427184466019,10.6225,10.6135714285714,10.3840476190476,10.2772952380952,10.3229446153846,10.4488920634921,10.21,10.3733738095238,110,0,0,0,0,0,1,1,1,1,1,1,FALSE,0,110,110,32,52.4,8,25,16,14,12,34,10
