symbol,date,numobs,high_21d,high_34d,high_55d,low_11d,low_21d,low_34d,first_date,first_close,close,volume,roc_ytd,roc5,roc10,ma_4d,ma_7d,ma_21d,ma_42d,ma_65d,ma_126d,close_25d_ago,ma_126d_25d_ago,total_up_days_10yr,vol9_5,vol9_10,vol9_50,vol9_126,vol9_252,pct4_10,pct4_20,pct4_40,pct4_60,pct4_126,pct4_252,up_day,consecutive_up_days,total_curr_up_days,total_up_days_252d,total_up_days_ytd,up_day_percentage,max_up_streak,significant_up_days_1pct,significant_up_days_2pct,high_volume_up_days,recent_up_trend_21d,recent_up_trend_63d,strong_up_days,#,Symbol,Name,Company Description,Days Vol Short 2 Periods Ago,Days Vol Short 1 Period Ago,Days Vol Short Current,Pr Wk High($),Index % Chg 5 Days,% New Lows in Group,# New Lows in Group,# New Highs in Group,Ind Mkt Val (bil),Short Volume,Ex-Dividend Date,Expected X Dividend Amount,A/D Rating - Pr Wk,IBD Big Cap 20,IBD 85-85 Index,IBD New America,IBD 50,Liab to Assets Lss Ind Median,LT Debt to Working Cap,EV to FCF,Yield %,Current Ratio,Price to CF,Dividend-Adjusted PEG,PEG,P/E Percent Rank,P/E vs S&P 500 P/E (%),Forward P/E,Pre-tax Margins,50 Day ATR %,30 Day ATR %,Avg Sales % Chg 6Q,Avg Sales % Chg 5Q,Avg Sales % Chg 4Q,Sales Growth 5 Yr,Sales Growth 3 Yr,Sales Accel 3 Qtrs,EPS Lst Yr Gtr EPS 4 Yrs Ago,Avg EPS % Chg 6Q,Avg EPS % Chg 3Q,Avg EPS % Chg 4Q,Avg EPS % Chg 5Q,EPS % Growth 5 Yr Pct Rnk,EPS % Growth 5 Yr,EPS % Growth 3 Yr,EPS % Growth 1 Yr,Sustainable Growth %,EPS Accel 3 Qtrs,RS Line New Low,% Chg YTD,Current Price,Industry Name,State,% New Highs in Group,Ind Grp Rnk 6 Mo Ago,3-Yr EPS Growth Geq 5-Yr,Avg True Range,Debt %,Sales Accel 2 Qtrs,Number of Stocks,P/E,Shrt Int % Chg,Shrt Int % of Float,52-Wk Low,52-Wk High,Ind Grp Rnk 3 Mo Ago,Ind Grp Rnk Last Week,Trl 26 Wk % Perf vs S&P 500,EPS Trailing 4 Qtrs,EPS Trl 4Q Gtr EPS 4 Yrs Ago,Earnings Stability,Price % Chg,% Off High,RS Rating,RS 3-Month Rating,Comp Rating,Beta,50-Day Avg $ Vol (1000s),Market Cap (mil),21 Day ATR %,Shares (1000s),Price vs 200-Day,Vol % Chg vs 50-Day,% Chg 1 Month,% Chg 3 Months,Ind Group RS,% Chg 6 Months,SMR Rating,EPS Rating,Ind Group Rank,A/D Rating,EPS Surprise,EPS Est Cur Yr %,EPS Est Next Yr %,Price vs 50-Day,Price vs 10-Day,Price vs 21-Day,P/E Ratio Rank in Grp,Annual Sales (mil),EPS % Chg 1 Yr Ago,Sales % Chg Lst Qtr,EPS % Chg Lst Yr,EPS Lst Rptd,Avg Sales % Chg 2Q,50-Day Avg Vol (1000s),10 Day > 21 Day > 50 Day,Price $ Chg,EPS Est Cur Qtr %,Volume (1000s),IPO Date,ETF/Closed-End Fund,Number of Funds,Incorp Date,ADR,ETF,AT Margin Accel,Price to Sales,Daily Closing Range,RS Line Within 5% of New High,EPS % Chg Last Qtr,Up/Down Vol,EPS % Chg 1 Q Ago,Sales % Chg Lst Yr,Exchange,RS Line New High,RS 6-Month Rating,50-Day > 150-Day > 200-Day,Price to Book,P/E Lss 5-Yr Avg,Weekly Closing Range,Shares in Float (1000s),EPS % Chg 2 Q Ago,EPS % Chg 3 Q Ago,Avg EPS % Chg 2Q,Avg Sales % Chg 3Q,EPS Trl 4Q Geq EPS Lst Fiscal Yr,EPS % Chg Lst Q Gtr 3-Yr Growth,Price vs 150-Day,Funds % Increase,Sector,% Chg Cur Week,City,New CEO 12 Months,Funds %,Enterprise Val (mil),Current day's Volume greater than previous 5 days' Volume,Current day's Volume greater than previous 10 days' Volume,Current day's Volume greater than previous 20 days' Volume,% Chg 12 Months,Vol % Chg vs 10-Week,EPS Due Date,ROE,AT Margin,timestamp
A,2026-08-21,5032,160.51,160.51,160.51,140.8505,135.78,125,2026-01-02,137.95,159,2734751,15.2591518666183,1.07049080993739,1.08926491744879,154.7875,152.202857142857,145.412857142857,139.359047619048,135.436,125.906825396825,131.46,123.622857142857,1344,0,0,0,0,0,1,1,2,3,4,7,TRUE,3,2630,130,83,52.3,9,1290,547,965,11,36,231,5612,A,Agilent Technologies Inc.,,2.2,3.1,2.3,160.51,7,2.7,1,3,656.3,5749623,06/29/2026,0,A+,No,No,No,No,No,1.33,31.5,0.7,2.1,29.07,4.09,4.56,73,120.92,25,20.7,2.83,2.75,,8.7,9.4,2,1,No,Yes,6.5,8.8,7.6,7.5,17,6,1,7,17,No,No,16.9,159,Medical - Research,,8.1,114,No,3.84,47.4,Yes,37,27,-24.4,2,108.35,160.51,138,31,12,5.81,Yes,7,1.73,-0.94,85,91,97,1.02,280097,44144.1,2.65,282432,21.1,16.5,19.7,38.5,A+,29.4,,60,4,A+,5.8,8,9,15.6,5.2,9.3,62,6834,-3,10,6,,9.3,2084,Yes,2.7,9,2735,,No,2572,,No,No,No,6.23,71,No,14,1.4,4,7,New York Stock Exchange,No,92,No,6.3,-,89,281484.2,9,4,8.8,9.1,Yes,Yes,25.4,1.5,MEDICAL,7,,No,59,45898.1,No,No,No,35.7,4.6,,20.6,18.5,2026-08-21
AA,2026-08-21,5032,55.0499,55.0499,80.74,48.7,42.48,42.48,2026-01-02,56.54,51.85,4731697,-8.29501238061549,1.03741496598639,1.03348614709986,50.9900000000001,50.7485714285713,48.3319047619047,48.5111904761903,56.0496923076923,60.2569047619047,43.98,62.7608730158729,1249,0,1,1,4,11,1,3,3,4,10,23,TRUE,1,2486,131,79,49.4,11,1648,1076,955,12,29,657,5613,AA,Alcoa Corp.,,1.7,1.6,1.6,55.05,3.7,0,0,4,973.9,9334029,08/10/2026,0,D,No,No,No,No,No,1.33,41.6,0.8,1.53,11.42,0,0,26,41.33,9,8.1,4.84,4.31,,6.4,7.1,2,9,No,No,139.3,143.3,81.6,94,16,-16,84,5,19,No,No,-2.4,51.85,Mining-Metal Ores,,5.7,8,No,2.06,44.1,Yes,70,11,-2,0,29.49,84.38,28,92,-27,4.76,No,99,2.57,-38.55,39,34,49,1.6,309914,13340.6,4.16,263909.5,-9.1,-18.8,16.9,-21.8,A,-14.3,,46,18,C-,-5.9,74,-6,2.2,1.2,7.3,94,12831,159,31,179,,13.1,6086,No,1.3,7855,4731,,No,938,,No,No,No,1.01,13,No,444,0.6,-35,8,New York Stock Exchange,No,21,No,1.86,-,67,262443.8,21,-104,204.4,8.4,Yes,Yes,-13.9,5.2,MINING,3.7,,No,51,14346.6,No,No,No,75.7,-17.6,,20.5,10.8,2026-08-21
AAAA,2026-08-21,278,31.06,31.06,31.06,30.5579,29.47,29.47,2026-01-02,27.428,30.702,16690,11.9367070147295,0.991442503309975,0.993608310814091,30.672475,30.8024142857143,30.5082571428571,30.3528119047619,30.3587661538462,29.2969714285714,29.98,28.7905126984127,153,0,0,0,0,0,0,0,0,0,0,0,TRUE,1,153,140,87,55.2,10,22,2,18,10,32,0,2,AAAA,Amplius Aggressive Asset Allocation ETF,,0,0,0,31.06,-0.9,1.1,63,262,16309.3,0,06/28/2026,0,C,No,No,No,No,-,0,0,1.3,0,0,0,0,-,0,0,0,0.79,0.7,,0,0,0,0,No,No,0,0,0,0,-,-,-,-,0,No,No,12.3,30.7,Finance-ETF / ETN,,4.7,0,No,0.21,0,No,5631,0,0,0,25.55,31.06,0,0,-2,0,No,0,0.47,-1.15,72,50,0,0,195,0,0.71,9280,7.2,159.8,1.6,1.9,"",9.3,,0,0,C,0,0,0,1.1,-0.4,0.6,-,0,0,0,0,,0,6,Yes,0.14,0,17,,Yes,0,,No,Yes,No,-,61,Yes,0,0.9,0,0,Cboe BZX US Equities Exchange,No,67,Yes,-,-,35,0,0,0,0,0,No,No,5.6,0,ETF/ETN/CEF,-0.9,,No,0,0,Yes,Yes,No,20.1,-26,,0,0,2026-08-21
AAAU,2026-08-21,2014,45.655,45.655,45.655,42.57,39.4,39.08,2026-01-02,42.74,45.52,1279724,6.50444548432383,1.05468025949954,1.06330296659659,44.375,43.8749999999999,42.0940476190477,41.0560714285714,41.7426153846154,44.4043650793651,39.59,45.8199603174603,1072,0,0,0,0,0,0,1,1,1,1,1,TRUE,3,1072,143,86,53.3,10,300,68,415,16,36,19,6,AAAU,Goldman Sachs Physical Gold ETF,,0,0,0,45.66,5.5,0.8,43,146,16325,0,"",0,C,No,No,No,No,-,0,0,0,0,0,0,0,-,0,0,0,1.99,1.83,,0,0,0,0,No,No,0,0,0,0,-,-,-,-,0,No,No,7,45.52,Finance-ETF / ETN,,2.6,0,No,0.75,0,No,5632,0,0,0,32.86,54.71,0,0,-21,0,No,0,1.95,-16.8,55,88,0,0,59809,0,1.85,62830.7,2.5,-8.8,13,1.7,"",-9.5,,0,0,B-,0,0,0,10.6,4.2,8.1,-,0,0,0,0,,0,1425,Yes,0.87,0,1280,,Yes,15,,No,Yes,No,-,76,No,0,1.1,0,0,Cboe BZX US Equities Exchange,No,51,No,-,-,95,0,0,0,0,0,No,No,0.8,-6.3,ETF/ETN/CEF,5.5,,No,3,0,No,No,No,38.1,-6.1,,0,0,2026-08-21
AACB,2026-08-19,361,10.6,10.6,10.6,10.53,10.48,10.47,2026-01-02,10.29,10.59,216597,2.91545189504374,1.00569800569801,1.00474383301708,10.58625,10.5728571428571,10.5495238095238,10.5317857142857,10.5015092307692,10.4224079365079,10.55,10.3628698412698,167,0,0,0,0,0,0,0,0,0,0,0,TRUE,1,167,108,43,46.4,8,25,13,28,10,24,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AACBR,2026-08-19,191,0.18,0.2381,0.4,7e-04,7e-04,7e-04,2026-01-02,0.3278,0.006,872514,-98.1696156192801,0.06,0.0476947535771065,0.00832499999999977,0.034885714285714,0.111473238095238,0.162430666666667,0.207992246153847,0.264694341269841,0.21,0.282654404761905,74,0,0,0,0,0,1,1,2,2,7,10,TRUE,1,74,74,30,38.9,5,59,54,12,7,18,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AACBU,2026-08-13,141,13.11,13.11,13.11,10.42,10.42,10.3,2026-01-07,10.58,10.7,600,1.13421550094517,0.91063829787234,1,10.6675,11.1971428571428,10.8504809523809,10.6700023809524,10.5621553846154,10.3798134920635,10.6,,59,0,0,0,0,0,0,0,0,0,0,0,TRUE,1,59,59,8,42.1,4,13,6,5,10,27,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AACG,2026-08-21,1719,1.15,1.15,1.17,0.80965,0.80965,0.80965,2026-01-02,0.8001,0.97,26997,21.2348456442945,1.01041666666667,1.12764473378284,0.993250000000001,1.00757142857143,0.935676190476193,0.954823833333335,1.00194924615385,1.02533096031746,0.9799,1.03709842063492,757,0,1,1,1,1,2,2,2,2,4,6,FALSE,0,757,114,77,44.1,9,619,460,38,11,27,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AACI,2026-08-21,67,10.05,10.05,10.05,9.98,9.94,9.93,2026-03-27,9.87,10.04,129,1.72239108409322,1.004,1.0060120240481,10.025,10.0114285714286,9.98738095238095,9.96702619047619,9.94061538461538,9.93820895522388,9.95,,28,0,0,0,0,0,0,0,0,0,0,0,TRUE,1,28,28,28,42.4,3,0,0,7,10,27,0,5614,AACI,Armada Acquisition Corp. III Cl A,,0,0.1,0,10.05,0.4,0.3,1,25,59.9,995,"",0,D+,No,No,No,No,Yes,0,0,0,2.65,-16332.5,0,0,48,557.47,0,0,0.17,0.16,,0,0,0,0,No,No,0,0,0,0,154,-,-,-,0,No,No,0,10.04,Finance-Blank Check,,8.3,0,No,0.02,0,No,303,0,-55.6,0,9.74,10.05,0,0,889,0,No,0,0.3,-0.1,0,0,0,0.02,13,341.3,0.1,25522,0,-99.8,0.7,0.9,"",0,,0,0,D+,0,0,0,0.6,0.2,0.4,48,0,0,0,0,,0,28,Yes,0.03,0,0,,No,22,,No,No,No,-,0,No,0,1.6,0,0,NASDAQ,No,0,No,1.41,-,75,25522,0,0,0,0,No,No,0,144.4,FINANCE,0.4,,No,43,341.4,No,No,No,0,-97.6,,0,0,2026-08-21
AACIU,2026-07-21,59,10.75,10.75,10.75,10.05,9.95,9.95,2026-02-18,9.97,10.14,1729,1.70511534603812,1.00595238095238,1.0089552238806,10.11,10.1285714285714,10.0604761904762,10.0168571428571,10.0038779661017,10.0038779661017,9.99,,21,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,21,21,21,36.2,2,1,1,2,9,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
