symbol,date,numobs,high_21d,high_34d,high_55d,low_11d,low_21d,low_34d,first_date,first_close,close,volume,roc_ytd,roc5,roc10,ma_4d,ma_7d,ma_21d,ma_42d,ma_65d,ma_126d,close_25d_ago,ma_126d_25d_ago,total_up_days_10yr,vol9_5,vol9_10,vol9_50,vol9_126,vol9_252,pct4_10,pct4_20,pct4_40,pct4_60,pct4_126,pct4_252,up_day,consecutive_up_days,total_curr_up_days,total_up_days_252d,total_up_days_ytd,up_day_percentage,max_up_streak,significant_up_days_1pct,significant_up_days_2pct,high_volume_up_days,recent_up_trend_21d,recent_up_trend_63d,strong_up_days,order,name,industry_name,sector,market_cap_mil,shares_in_float_1000s,x50_day_avg_vol_1000s,x50_day_avg_vol_1000s_2,comp_rating,eps_rating,a_d_rating,eps_due_date,ipo_date,etf,current_price,percent_off_high,avg_true_range,rs_rating,rs_3_month_rating,rs_6_month_rating,rs_line_new_high,price_percent_chg,percent_chg_cur_week,percent_chg_1_month,percent_chg_3_months,percent_chg_6_months,percent_chg_12_months,sales_accel_2_qtrs,sales_accel_3_qtrs,sales_percent_chg_lst_qtr,avg_sales_percent_chg_2q,avg_sales_percent_chg_3q,eps_accel_3_qtrs,eps_percent_chg_last_qtr,eps_percent_chg_1_q_ago,eps_percent_chg_2_q_ago,eps_est_next_yr_percent,x3_yr_eps_growth_geq_5_yr,eps_trl_4q_gtr_eps_4_yrs_ago,eps_trl_4q_geq_eps_lst_fiscal_yr,funds_percent,earnings_stability,yield_percent
A,2025-10-17,5033,143.325,143.325,143.325,135.54,120.78,120.78,2025-01-02,133.43,141.92,1506511,6.36288690699243,1.03879373444591,1.0019768426998,140.1775,139.381428571429,134.091428571429,129.139047619048,124.791230769231,119.425158730159,123.24,115.383412698413,1355,0,0,0,0,0,0,1,2,2,3,4,TRUE,3,2636,122,101,52.4,10,1287,538,994,12,35,229,1,Agilent Technologies,Medical-Research Eqp/Svc,MEDICAL,40234.3,280665,239873,1697,91,73,B+,2025-12-01,1999-11-18,No,141.92,-7.75,3.3,76,89,84,No,0.58,3.88,12,22,38.5,3.3,Yes,Yes,10,8.1,5.8,No,4,7,2,8,No,Yes,Yes,57,9,0.7
AA,2025-10-17,5033,38.09,38.09,38.09,33.77,30.81,30.21,2025-01-02,37.99,35.97,4397913,-5.31718873387734,1.02712735579669,1.04260869565217,36.3275000000002,36.2257142857142,34.3757142857144,33.0876190476188,32.1601538461539,30.119126984127,33.24,29.1526190476191,1238,0,1,1,4,7,1,2,3,3,9,13,FALSE,0,2496,125,100,49.6,13,1629,1033,954,11,33,623,2,Alcoa,Mining-Metal Ores,MINING,9313.1,256324,222100,6177,93,81,B+,2025-10-22,-,No,35.97,-24.7,1.38,72,87,86,No,-3.12,2.71,9.5,22.4,54.2,-10.9,No,No,4,16.7,22.6,No,144,365,286,4,No,Yes,Yes,42,-,1.1
AAAU,2025-10-17,1803,42.6155,42.6155,42.6155,38.1704,36.0728,34.3542,2025-01-02,26.285,41.73,12919185,58.7597489062203,1.05352183791972,1.08785192909281,41.675,40.8714285714285,38.8814285714286,36.8840476190476,35.5528461538461,34.2394047619047,35.985,32.678253968254,959,0,0,0,0,0,0,0,0,0,0,0,FALSE,0,959,152,121,53.2,10,241,44,375,17,40,9,5,Goldman Sachs Phys Gold,Finance-ETF / ETN,MISC,2314.1,46072,95657,2506,-,0,B-,-,-,Yes,41.73,-1.97,0.58,88,91,86,No,-1.86,5.35,15.4,26.6,27.1,56.8,No,No,-,-,-,Yes,41,40,26,-,No,Yes,Yes,5,-,0
AAL,2025-10-17,2983,12.67,14.01,14.01,11.37,11.07,11.07,2025-01-02,17,11.86,34776331,-30.2352941176471,1.02951388888889,1.02417962003454,12.11,11.9028571428572,11.7680952380952,12.359761904762,12.264,11.7277777777778,12.91,11.4474206349206,1230,0,0,2,8,13,0,0,1,2,8,13,FALSE,0,1476,129,99,49.5,12,939,537,530,9,32,324,11,American Airlines Group,Transportation-Airline,TRANSPRT,7825.6,653229,904996,76058,6,13,D-,2025-10-23,-,No,11.86,-37.91,0.42,22,26,48,No,-0.25,2.95,-5,-4.7,25.4,-7.4,Yes,No,0,0.1,1.6,No,-13,-74,197,306,No,Yes,No,39,-,0
AAMI,2025-10-17,256,50.46,51.25,51.645,43.75,43.75,41.93,2025-01-02,25.79,46.35,188926,79.7208220240404,1.04816824966079,1.00237889273356,46.8175000000001,46.0314285714286,46.7828571428572,47.5583333333333,45.9535384615385,39.0326190476191,48.57,34.7810317460317,115,0,0,0,0,0,1,1,1,4,5,8,TRUE,1,115,115,109,45.1,7,72,46,37,8,32,27,15,Acadian Asset Management,Finance-Investment Mgmt,FINANCE,1729.6,35824,14192,306,96,96,B,2025-10-30,2014-10-09,No,46.35,-10.25,1.55,92,62,88,No,1.4,4.82,-4.1,15.7,74.1,71.2,Yes,No,17,15.2,19.4,No,42,23,69,33,Yes,Yes,Yes,49,14,0.1
AAOI,2025-10-17,3034,35.2,35.2,35.2,26.6622,24.79,22.04,2025-01-02,35.6,31.92,4668742,-10.3370786516854,1.17569060773481,1.14285714285714,31.1225,30.4442857142858,29.192619047619,27.2923809523809,26.0808461538462,22.8318253968253,27.07,20.1826587301586,1209,0,1,2,4,6,2,4,8,12,24,42,TRUE,1,1463,116,89,48.2,8,1134,852,413,9,27,630,16,Applied Optoelectronics,Telecom-Fiber Optics,TELECOM,1990.3,59235,170484,5306,87,52,B-,2025-11-06,2013-09-26,No,31.92,-28.27,2.75,93,94,95,No,2.5,17.57,8.3,8.5,199.4,68,No,No,138,141.7,116.4,No,43,94,-150,432,No,Yes,Yes,34,-,0
AAON,2025-10-17,5033,106.58,106.58,106.58,95.49,86.94,78,2025-01-02,117.94,97.24,1781005,-17.5512972697982,0.977286432160804,0.989015459723352,101.4275,101.198571428571,97.339761904762,90.0477380952381,86.8028461538461,86.9076984126984,82.18,83.946865079365,1324,0,0,0,0,0,1,1,3,5,8,15,FALSE,0,2594,125,100,51.6,10,1548,845,832,12,33,454,17,AAON,Bldg-A/C & Heating Prds,BUILDING,7928,66039,121851,1264,65,55,B-,2025-11-06,-,No,97.24,-32.5,4.25,55,88,79,No,-2.81,-2.27,20.8,22.4,17.9,-12.5,No,No,-1,11.1,6.4,No,-65,-10,-46,46,Yes,Yes,No,60,26,0.4
AAP,2025-10-17,5032,63.53,65.21,65.21,49.13,49.13,49.13,2025-01-02,48.14,53.72,1257682,11.5911923556294,1.08569118835893,0.875774372350831,53.9525000000003,52.8085714285717,57.5228571428566,58.8619047619045,58.7353846153849,52.0034126984124,61.09,47.5438888888886,1253,0,0,0,1,1,1,1,3,6,15,24,TRUE,1,2543,124,92,50.5,10,1293,610,840,9,28,293,18,Advance Auto Parts,Retail/Whlsle-Auto Parts,RETAIL,3222.3,59384,95353,1757,38,23,D,2025-10-30,-,No,53.72,-23.26,2.46,79,13,77,No,0.28,8.57,-14.3,-12,68.6,36.4,No,No,-8,-7.3,-5.2,No,11,-167,-162,66,No,No,No,79,-,1.9
AAPD,2025-10-17,802,14.99,15.925,17.9099,13.77,13.77,13.77,2025-01-02,15.68,14.1429,2127890,-9.80293367346939,0.973358568479009,1.02262472885033,14.320375,14.3240428571428,14.1039904761904,14.7805023809524,15.4205276923077,16.5118595238095,15.38,17.2700833333333,367,0,0,0,0,0,0,0,0,0,0,4,FALSE,0,367,116,95,45.8,8,164,75,110,8,30,35,20,Direxion Dly AAPL Br 1X,Finance-ETF / ETN,MISC,21.6,1800,22862,1622,-,0,D-,-,-,Yes,14.14,-35.6,0.29,13,12,8,No,-1.96,-2.66,-6.2,-17.6,-23.2,-14.4,No,No,-,-,-,No,-24,-25,-15,-,No,No,Yes,20,-,3.7
AAPL,2025-10-17,5033,259.24,259.24,259.24,244,240.2106,225.95,2025-01-02,243.85,252.29,49146961,3.46114414599139,1.02862151914217,0.977792419192311,249.2125,249.117142857143,253.112380952381,243.052619047619,234.111692307692,219.751428571429,234.07,211.23126984127,1342,0,0,1,3,4,0,0,0,2,3,4,TRUE,1,2655,135,103,52.8,11,1390,607,942,12,32,291,22,Apple,Telecom-Consumer Prods,TELECOM,3744082,14691986,13385018,52232,89,84,B+,2025-10-30,1980-12-12,No,252.29,-3,5,76,84,82,No,1.96,2.86,5.6,20.1,28.1,8.7,Yes,Yes,10,7.3,6.2,No,12,8,10,9,No,Yes,Yes,33,13,0.4
